Owner_ID,Channel_ID,Channel_Type,Video-IDs,Date_Created
U-1,CH-1,Public-Channel," V-121, V-277, V-61, V-151, V-278",2014/5/25
U-2,CH-2,Public-Channel,"V-32, V-122, V-278, V-198, V-262, V-138",2014/11/16
U-3,CH-3,Public-Channel," V-33, V-123, V-279, V-199, V-138",2014/8/24
U-4,CH-4,Public-Channel,"V-34, V-124, V-280, V-154, V-59",2014/6/17
U-5,CH-5,Public-Channel,"V-35, V-125, V-281, V-65, V-155, V-201, V-265, V-144",2014/6/10
U-6,CH-6,Public-Channel,"V-36, V-126, V-282, V-202, V-121",2013/8/25
U-7,CH-7,Public-Channel,"V-37, V-127, V-283, V-287",2014/10/10
U-8,CH-8,Public-Channel,"V-38, V-128, V-284, V-68, V-158, V-138",2013/11/21
U-9,CH-9,Public-Channel,"V-39, V-129, V-285, V-69, V-58",2014/5/30
U-10,CH-10,Public-Channel,"V-40, V-130, V-286, V-206, V-270, V-289",2014/7/15
U-11,CH-11,Public-Channel,"V-41, V-131, V-287, V-46",2015/1/28
U-12,CH-12,Public-Channel,"V-42, V-132, V-288, V-56",2013/10/18
U-13,CH-13,Public-Channel,"V-43, V-133, V-289, V-231",2013/1/10
U-14,CH-14,Public-Channel,"V-44, V-134, V-290, V-50",2013/12/18
U-15,CH-15,Public-Channel,"V-45, V-135, V-291, V-51",2013/12/13
U-16,CH-16,Public-Channel,"V-46, V-136, V-292, V-142",2014/5/20
U-17,CH-17,Public-Channel,"V-47, V-137, V-17, V-231, V-40",2014/5/11
U-18,CH-18,Public-Channel,"V-48, V-138, V-121",2012/11/24
U-19,CH-19,Public-Channel,"V-49, V-139, V-32",2014/2/25
U-20,CH-20,Public-Channel,"V-50, V-140, V-33",2014/11/25
U-21,CH-21,Public-Channel,"V-51, V-141, V-124",2014/5/5
U-22,CH-22,Public-Channel,"V-52, V-142, V-125",2013/7/12
U-23,CH-23,Public-Channel,"V-53, V-36",2014/6/21
U-24,CH-24,Public-Channel,"V-54, V-144, V-174, V-238, V-127",2013/11/9
U-25,CH-25,Public-Channel,"V-55, V-145, V-38",2013/10/28
U-26,CH-26,Public-Channel,"V-56, V-146, V-39",2014/1/14
U-27,CH-27,Public-Channel,"V-57, V-147, V-40",2014/9/4
U-28,CH-28,Public-Channel,"V-58, V-148, V-41, V-131",2014/5/6
U-29,CH-29,Public-Channel,"V-59, V-149, V-132",2013/4/2
U-30,CH-30,Public-Channel,"V-90, V-180, V-244, V-43",2013/2/6
U-1,CH-31,Music-Videos-Channel,"V-61, V-151, V-197, V-261",2014/7/9
U-2,CH-32,Music-Videos-Channel,"V-62, V-152, V-198, V-262",2014/9/3
U-3,CH-33,Music-Videos-Channel,"V-63, V-153, V-199, V-263",2014/1/5
U-4,CH-34,Music-Videos-Channel,"V-64, V-154, V-200, V-264",2014/3/24
U-5,CH-35,Music-Videos-Channel,"V-65, V-155, V-201, V-265",2013/2/3
U-6,CH-36,Music-Videos-Channel,"V-66, V-156, V-202, V-266",2015/2/9
U-7,CH-37,Music-Videos-Channel,"V-67, V-157, V-203, V-267",2013/2/8
U-8,CH-38,Music-Videos-Channel,"V-68, V-158, V-204, V-268",2014/11/29
U-9,CH-39,Music-Videos-Channel,"V-69, V-159, V-205, V-269",2013/2/11
U-10,CH-40,Music-Videos-Channel,"V-70, V-160, V-206, V-270",2014/7/6
U-11,CH-41,Music-Videos-Channel,"V-71, V-161, V-207, V-271",2013/11/27
U-12,CH-42,Music-Videos-Channel,"V-72, V-162, V-208, V-272",2014/8/30
U-13,CH-43,Music-Videos-Channel,"V-73, V-163, V-209, V-273",2014/7/12
U-14,CH-44,Music-Videos-Channel,"V-74, V-164, V-210, V-274",2014/11/18
U-15,CH-45,Music-Videos-Channel,"V-75, V-165, V-211, V-229, V-275",2013/12/10
U-16,CH-46,Music-Videos-Channel,"V-76, V-166, V-212, V-230, V-276",2012/11/29
U-17,CH-47,Music-Videos-Channel,"V-77, V-167, V-231",2013/11/9
U-18,CH-48,Music-Videos-Channel,"V-78, V-168, V-232",2013/8/5
U-19,CH-49,Music-Videos-Channel,"V-79, V-169, V-233",2014/5/20
U-20,CH-50,Music-Videos-Channel,"V-80, V-170, V-234",2015/1/12
U-21,CH-51,Music-Videos-Channel,"V-81, V-171, V-235",2014/1/12
